Europe|Moldova|3553100
Europe|Monaco|37800
Europe|Montenegro|621810
Europe|Netherlands|17000540
Europe|Norway|5213985
Europe|Poland|38484000
Europe|Portugal|10374822
Europe|Romania|19861000
Europe|Russia|146544710
Europe|San Marino|33005
Europe|Serbia|7114393
Europe|Slovakia|5424058
Europe|Slovenia|2070081
Europe|Spain|46423064
Europe|Sweden|9858794
Europe|Switzerland|8306200
Europe|Transnistria|505153
Europe|Ukraine|42738070
Europe|United Kingdom|65097000
Europe|Vatican City|839
North America|Anguilla (UK)|13452
North America|Antigua and Barbuda|86295
North America|Aruba (Netherlands)|107394
North America|The Bahamas|393000
North America|Barbados|285000
North America|Belize|368310
North America|Bermuda (UK)|61954
North America|Bonaire (Netherlands)|18905
North America|British Virgin Islands (UK)|28514
North America|Canada|36048521
North America|Cayman Islands (UK)|58238
North America|Costa Rica|4832234
North America|Cuba|11238317
North America|Curaçao (Netherlands)|154843
North America|Dominica|71293
North America|Dominican Republic|10075045
North America|El Salvador|6520675
North America|Greenland (Denmark)|55847
North America|Grenada|103328
North America|Guadeloupe (France)|403750
North America|Guatemala|16176133
North America|Haiti|11078033
North America|Honduras|8576532
North America|Jamaica|2723246
North America|Martinique (France)|381326
North America|Mexico|122273500
North America|Montserrat (UK)|4922
North America|Nicaragua|6198154
North America|Panama|3814672
North America|Puerto Rico (U.S.)|3474182
North America|Saba (Netherlands)|1811
North America|Saint Barthélemy (France)|9269
North America|Saint Kitts and Nevis|46204
North America|Saint Lucia|186000
North America|Saint Martin (France)|36522
North America|Saint Pierre and Miquelon (France)|6069
North America|Saint Vincent and the Grenadines|109991
North America|Sint Eustatius (Netherlands)|3877
North America|Sint Maarten (Netherlands)|38247
North America|Trinidad and Tobago|1349667
North America|Turks and Caicos Islands (UK)|31458
North America|United States of America|323110000
North America|United States Virgin Islands (U.S.)|106000
South America|Argentina|43590400
South America|Bolivia|10985059
South America|Brazil|205818000
South America|Chile|18191900
South America|Colombia|48583300
South America|Ecuador|16278844
South America|Falkland Islands (UK)|2563
South America|French Guiana (France)|239648
South America|Guyana|746900
South America|Paraguay|6854536
South America|Peru|31488700
South America|South Georgia and the South Sandwich Islands (United Kingdom)|29
South America|Suriname|534189
South America|Uruguay|3480222
South America|Venezuela|31028700
Oceania|American Samoa (U.S.)|57100
Oceania|Australia|24035400
Oceania|Cook Islands|19100
Oceania|Fiji|867000
Oceania|French Polynesia (France)|268270
Oceania|Guam (U.S.)|184200
Oceania|Kiribati|113400
Oceania|Marshall Islands|54880
Oceania|Federated States of Micronesia|102800
Oceania|Nauru|10084
Oceania|New Caledonia (France)|268767
Oceania|New Zealand|4673570
Oceania|Niue (NZ)|1470
Oceania|Norfolk Island (Australia)|2302
Oceania|Northern Mariana Islands (U.S.)|56940
Oceania|Palau|17950
Oceania|Papua New Guinea|8083700
Oceania|Pitcairn Islands (UK)|56
Oceania|Samoa|187820
Oceania|Solomon Islands|642000
Oceania|Tokelau (NZ)|1411
Oceania|Tonga|103252
Oceania|Tuvalu|10640
Oceania|Vanuatu|277500
Oceania|Wallis and Futuna (France)|11750
